TimeStamp,Total,Entering,Leaving,Date,Hour,NOx,medium_temp,medium_humidity,medium_windspeed,medium_winddirection,medium_pressure,total_rainfall,medium_radiation,medium_uv_a,medium_uv_b,medium_no,medium_no2,medium_o3,medium_pm10,medium_pm2.5
2016-01-01 01:00:00,1095.0,695.0,400.0,2016-01-01,01,68.0,5.2,93.8,0.9,205.0,989.0,0.0,0.0,1.47,0.03,112.0,33.0,4.0,521.0,462.0
2016-01-01 02:00:00,1987.0,1064.0,923.0,2016-01-01,02,83.0,5.3,93.6,0.8,23.3,989.0,0.0,0.0,1.48,0.03,156.0,36.0,4.0,797.0,710.0
2016-01-01 03:00:00,1786.0,980.0,806.0,2016-01-01,03,80.0,5.5,93.1,0.7,45.8,989.8,0.01,0.0,1.48,0.03,183.0,44.0,5.0,558.0,498.0
2016-01-01 04:00:00,1371.0,779.0,592.0,2016-01-01,04,79.0,5.6,93.1,1.1,49.7,990.0,0.04,0.0,1.51,0.03,197.0,42.0,4.0,520.0,470.0
2016-01-01 05:00:00,1159.0,702.0,457.0,2016-01-01,05,68.0,5.5,93.3,0.4,99.3,990.0,0.22,0.0,1.52,0.03,189.0,38.0,3.0,500.0,460.0
2016-01-01 06:00:00,900.0,492.0,408.0,2016-01-01,06,64.0,5.4,93.9,0.7,87.0,990.0,0.01,0.0,1.57,0.03,189.0,43.0,5.0,398.0,371.0
2016-01-01 07:00:00,731.0,410.0,321.0,2016-01-01,07,64.0,5.6,94.2,0.2,61.6,990.2,0.0,0.0,1.58,0.03,168.0,38.0,3.0,351.0,330.0
2016-01-01 08:00:00,478.0,279.0,199.0,2016-01-01,08,50.0,5.6,93.9,0.2,105.6,991.0,0.0,0.0,1.61,0.03,157.0,38.0,3.0,292.0,275.0
2016-01-01 09:00:00,389.0,182.0,207.0,2016-01-01,09,42.0,5.3,94.1,1.1,200.7,991.0,0.0,10.2,2.21,0.03,102.0,40.0,5.0,138.0,131.0
2016-01-01 10:00:00,486.0,229.0,257.0,2016-01-01,10,40.0,5.5,93.4,0.5,164.8,991.0,0.0,105.5,4.5,0.05,72.0,40.0,7.0,50.0,48.0
2016-01-01 11:00:00,762.0,401.0,361.0,2016-01-01,11,50.0,6.0,92.7,1.1,57.1,991.0,0.0,115.6,5.04,0.06,76.0,32.0,4.0,112.0,107.0
2016-01-01 12:00:00,1195.0,614.0,581.0,2016-01-01,12,55.0,5.7,92.7,1.5,21.0,990.0,0.0,72.2,4.94,0.07,61.0,32.0,5.0,102.0,98.0
2016-01-01 13:00:00,1591.0,846.0,745.0,2016-01-01,13,55.0,5.6,93.3,1.9,18.6,990.0,0.0,82.1,4.54,0.06,47.0,33.0,5.0,79.0,76.0
2016-01-01 14:00:00,1964.0,1009.0,955.0,2016-01-01,14,65.0,5.4,93.1,1.7,47.4,989.0,0.0,61.3,3.78,0.05,40.0,33.0,6.0,62.0,59.0
2016-01-01 15:00:00,2358.0,1190.0,1168.0,2016-01-01,15,68.0,5.7,93.1,0.9,30.1,988.0,0.0,38.7,3.26,0.04,29.0,37.0,9.0,59.0,57.0
